nama,kategori,jenis,lokasi,harga_rata2,terjual,rating,jumlah_review,toko,umur_bulan_toko,n_produk_toko,pengikut_toko
Startali string elastis/tali karet bulat 3mm 13 warna( permeter),Outerwear,hoodie,tangerang selatan ,1000.0,10000,4.9,499,gudangrenda_unik,20,238,520
CELANA PRIA CHINO Slim fit Panjang Kerja kantor Santai Liburan Cowok Gentleman Boy Skinnyhtytth,Celana Panjang,chino,pekalongan ,41250.0,10000,4.6,13400,sapto.kalis,48,190,66200
StarKAOS POLO SHIRT/KERAH POLOS,Atasan,kaos polo,jakarta barat ,25175.0,10000,4.8,6500,hengkydarjono,17,28,8200
StarSURFINCLO Boxer Polos Cotton Combed 30s & 2Tone Katun CVC,Pakaian Dalam,boxer,bandung ,40000.0,10000,4.7,4800,surfinclo.id,28,317,185200
Star+KAOS POLOS OVERSIZE UNISEX COTTON COMBED 24S PREMIUM OVERSIZED TSHIRT,Atasan,kaos,bandung ,64480.0,9400,4.9,3600,qrproject.id,3,7,13200
Star+KAOS OBLONG PRIA SWAN BRAND SHOGUNAVO ORIGINAL MURAH,Pakaian Dalam,kaos dalam,jakarta barat ,14200.0,10000,4.8,4800,scholar.id,48,69,2500
StarSAKAYOSTORE Celana Kantor Formal Kerja Bahan Dasar Pria Slimfit,Celana Panjang,NaN,jakarta timur ,75900.0,10000,4.7,16300,sakayostore,20,11,8300
COD|KAOS MOTIF DISTRO MURAH|KAOS GROSIR|KAOS TERMURAH|KAOS PRIA|KAOS WANITA,Atasan,kaos,magelang ,14999.0,10000,4.6,3000,enys123,9,54,7400
YANG LAGI HITS Celana Cargo Panjang Pria Army Loreng Ufc Venum Mma Pantai Gym Lari Fitnes,Celana Panjang,cargo,pekalongan ,69000.0,10000,4.5,9800,impusstore,30,127,143200
Star+Baru CD Munafie Celana Dalam Boxer Munafie Pria Man Underwear Sempak Pria  Murah Comfortable CD&BRA,Pakaian Dalam,boxer,jakarta utara ,9025.0,6700,4.9,1100,sexy.crowd,5,71,21700
StarBlackpink Celana Dalam Kolor MUNAFIE Pakaian dalam Pria /Underwear men Munafie Style Casual 3001,Pakaian Dalam,NaN,tangerang ,8989.0,10000,4.8,1800,blackpinks_,7,115,38300
Star+KAOS POLOS OVERSIZE POCKET COTTON COMBED 24s TSHIRT OVERSIZED BIGSIZE PRIA & WANITA BAJU KOREA,Atasan,kaos,bandung ,69400.0,10000,4.9,7700,uniqueofficial_,22,7,26600
StarSEMPAK PRIA-CD DALEMAN M-XL ECER TERMURAH,Pakaian Dalam,NaN,bandung ,3950.0,10000,4.7,2600,rika.store,36,10,2600
[BIG SIZE] Celana Chino Pendek Pria mick pinggang karet rip katun twill krem coklat surfing santaI,Celana Panjang,chino,pekalongan ,35000.0,10000,4.6,30500,cixstore,32,71,24900
